Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,19,TSM,14.5k,7.8k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,20,Envy,25.1k,20.5k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,20,TSM,21.6k,2.0k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,21,Envy,24.9k,25.7k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,21,TSM,7.7k,10.1k,Semi-eco: 5-10k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,22,Envy,26.7k,34.1k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,22,TSM,23.3k,2.1k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,23,Envy,25.1k,23.8k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,23,TSM,15.8k,2.0k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,24,Envy,25.5k,9.9k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,24,TSM,21.7k,3.6k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,1,Envy,3.7k,0.4k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,1,TSM,3.9k,0.3k,Eco: 0-5k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,2,Envy,1.7k,8.9k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,2,TSM,16.0k,2.1k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,3,Envy,21.2k,0.8k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,3,TSM,20.8k,5.3k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,4,Envy,8.3k,9.6k,Semi-eco: 5-10k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,4,TSM,24.7k,8.4k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,5,Envy,25.7k,7.9k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,5,TSM,18.0k,2.1k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,6,Envy,25.6k,13.8k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,6,TSM,6.3k,9.7k,Semi-eco: 5-10k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,7,Envy,26.0k,27.0k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,7,TSM,25.0k,1.8k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,8,Envy,25.5k,30.3k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,8,TSM,17.2k,8.0k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,9,Envy,24.9k,28.5k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,9,TSM,22.4k,2.7k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,10,Envy,24.9k,14.0k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,10,TSM,25.0k,10.6k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,11,Envy,25.1k,17.9k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,11,TSM,21.6k,2.5k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,12,Envy,25.6k,22.6k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,12,TSM,14.5k,1.3k,Semi-buy: 10-20k,Win
