Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,17,Crazy Raccoon,21.8k,3.7k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,18,Team Vikings,23.2k,19.6k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,18,Crazy Raccoon,17.0k,3.5k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,19,Team Vikings,25.3k,14.6k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,19,Crazy Raccoon,11.6k,9.5k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,20,Team Vikings,26.6k,16.4k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,20,Crazy Raccoon,23.0k,2.8k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,21,Team Vikings,25.2k,5.0k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,21,Crazy Raccoon,19.7k,1.6k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,22,Team Vikings,26.3k,11.0k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,22,Crazy Raccoon,16.6k,1.1k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,1,Team Vikings,3.7k,0.3k,Eco: 0-5k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,1,Crazy Raccoon,4.1k,0.1k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,2,Team Vikings,15.2k,2.8k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,2,Crazy Raccoon,3.5k,7.2k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,3,Team Vikings,15.0k,13.1k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,3,Crazy Raccoon,21.9k,0.9k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,4,Team Vikings,24.8k,8.1k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,4,Crazy Raccoon,11.2k,7.2k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,5,Team Vikings,26.4k,20.2k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,5,Crazy Raccoon,21.1k,1.4k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,6,Team Vikings,22.6k,9.1k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,6,Crazy Raccoon,19.8k,3.9k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,7,Team Vikings,22.1k,13.4k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,7,Crazy Raccoon,6.7k,8.8k,Semi-eco: 5-10k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,8,Team Vikings,24.4k,25.0k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,8,Crazy Raccoon,21.1k,1.7k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,9,Team Vikings,24.7k,11.0k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,9,Crazy Raccoon,22.3k,12.1k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,10,Team Vikings,23.8k,7.3k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,10,Crazy Raccoon,22.3k,19.7k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,11,Team Vikings,23.0k,5.4k,Full buy: 20k+,Loss
